DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2017,17.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2018,15.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2019,14.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2020,15.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2021,14.9,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2022,13.0,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2023,12.2,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2024,11.4,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2025,10.5,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2015,10.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2016,9.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2017,8.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2018,7.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2019,6.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2020,7.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2021,7.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2022,6.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2023,6.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2024,5.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),2025,6.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2015,9.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2016,8.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2017,8.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2018,7.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2019,6.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2020,7.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2021,7.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2022,6.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2023,7.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2024,8.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,2025,9.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2015,10.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2016,10.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2017,9.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2018,9.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2019,8.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2020,8.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2021,7.9,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2022,7.3,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2023,7.3,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2024,7.4,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2025,7.7,d,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2015,16.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2016,13.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2017,11.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2018,8.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2019,6.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2020,7.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2021,7.5,,
